name,country,categories,near_station,Address,empty_slots,free_bikes,latitude,longitude,timestamp,Unique ID
Château de l'Hers,FR,"[{'id': 18064, 'name': 'Soccer Field', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_', 'suffix': '.png'}}]",00208 - LIMAYRAC - DARASSE,RD-PT ALL DE LIMAYRAC / ANGLE RUE DARASSE,13,5,43.59122002357,1.48008748375626,2022-12-05T00:29:57.024000Z,208
Cafe de l'Espace Job,FR,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",00131 - BERNIES - ROUTE DE BLAGNAC,15 RUE PAUL BERNIES,5,14,43.6117411156409,1.41459747126756,2022-12-05T00:29:57.024000Z,131
Fat Cat,FR,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",00001 - POIDS DE L'HUILE,12 RUE DU POIDS DE L'HUILE,6,13,43.604134687021045,1.445420780739279,2022-12-05T00:29:57.026000Z,1
The Dispensary,FR,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",00037 - SAINTE-LUCIE,53 RUE SAINTE-LUCIE,6,12,43.5935069290371,1.42988070604336,2022-12-05T00:29:57.026000Z,37
El Divino,FR,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",00259 - PLACE RICHE,PL PAUL RICHE A COTE 231 AV DE FRONTON,13,7,43.64751,1.43298,2022-12-05T00:29:57.036000Z,259
Bikutsi de Toulouse,FR,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",00234 - LOUIN - RAYNAL,50M APRES 4 RUE PIERRETTE LOUIN,9,6,43.6282365928395,1.45133050456128,2022-12-05T00:29:57.037000Z,234
Hippodrome Restauration,FR,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",00192 - ROUTE DE ST SIMON - PRADO,355 ROUTE DE SAINT-SIMON,1,19,43.5876594130538,1.40916212555251,2022-12-05T00:29:57.037000Z,192
London Town,FR,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",00048 - PLACE DU SALIN,18 PL DU SALIN,23,9,43.59474911973265,1.444132711268797,2022-12-05T00:29:57.038000Z,48
Le Papus,FR,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",00266 - TOURAINE,38 RUE DE LA TOURAINE,10,10,43.57375,1.41398,2022-12-05T00:29:57.039000Z,266
complex sportif de Bordeaurouge,FR,"[{'id': 18064, 'name': 'Soccer Field', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_', 'suffix': '.png'}}]",00175 - METRO BORDEROUGE - MAUNOURY,FACE 52 AV BOURGES MAUNOURY,30,0,43.6394555737186,1.45256734914219,2022-12-05T00:29:57.040000Z,175
