Station Name,Address,empty_slots,free_bikes,latitude,longitude,timestamp,Unique ID
00143 - DESBALS - SAINTONGE,PL GENEVIEVE ANTHONIOZ DE GAULLE / ANGLE RUE HENRY DESBALS,10,10,43.5813322052426,1.41343167605157,2022-12-05T00:29:57.104000Z,143
00106 - BRIENNE - PASSERELLE,99 ALL DE BRIENNE,9,12,43.6084221115685,1.42386687477895,2022-12-05T00:29:57.105000Z,106
00030 - PLACE ANATOLE FRANCE,40 PL ANATOLE FRANCE,13,12,43.60629527233212,1.438224999266949,2022-12-05T00:29:57.105000Z,30
00170 - ROUTE D'ALBI - NICOL,FACE 163 CHE NICOL,9,7,43.6356665121282,1.4641481384508,2022-12-05T00:29:57.106000Z,170
00274 - GALLIENI,FACE 296 RTE DE SEYSSES / HALTE SNCF GALLIENI - CANCEROPOLE,8,9,43.574,1.41954,2022-12-05T00:29:57.107000Z,274
00123 - CHAUSSAS - EMBOUCHURE,1 RUE DE CHAUSSAS,15,8,43.6149246511755,1.43288072066524,2022-12-05T00:29:57.107000Z,123
00006 - LOIS,10 RUE DES LOIS,7,11,43.605203861406,1.44210144576893,2022-12-05T00:29:57.108000Z,6
00009 - MAILLART - ROQUEMAUREL,RUE ROQUEMAUREL / ANGLE 3 RUE ANNE FRANCK,16,2,43.5959827340129,1.41021417917972,2022-12-05T00:29:57.110000Z,9
00097 - RAYMOND IV,FACE AU 66 RUE RAYMOND IV,19,2,43.6124358815605,1.45147664662089,2022-12-05T00:29:57.111000Z,97
00049 - COUTELIER - METZ,52 RUE DES COUTELIERS,1,15,43.599589544431005,1.441434965295236,2022-12-05T00:29:57.111000Z,49
00191 - RUE DU 14 JUILLET - ROUTE DE SAINT-SIMON,395 ROUTE DE SAINT SIMON,4,14,43.5899849938932,1.41518378561974,2022-12-05T00:29:57.112000Z,191
00052 - DUPORTAL - CITE ADMIN.,39 BD ARMAND DUPORTAL,8,13,43.6086474542151,1.43465009606282,2022-12-05T00:29:57.112000Z,52
00019 - CARNOT - SEPT TROUBADOURS,1 RUE DES 7 TROUBADOURS,12,11,43.605575920072,1.44907202261787,2022-12-05T00:29:57.113000Z,19
00013 - LOIS - ESQUILE,1 RUE DE L ESQUILE,4,11,43.6062131819025,1.44133107759038,2022-12-05T00:29:57.114000Z,13
00129 - CROIX DE PIERRE,2 BD DEODAT DE SEVERAC,1,15,43.58588,1.4278,2022-12-05T00:29:57.115000Z,129
00287 - STADE ERNEST-WALLON - STADE TOULOUSAIN,114 RUE DES TROENES / ANGLE STADE ERNEST WALLON,17,13,43.62067,1.41521,2022-12-05T00:29:57.115000Z,287
00212 - CHAUMIERE - CHIRAC,RUE DE LA CHAUMIERE / 50 M APRES RD-PT DU CAPITAINE DREYFUS,17,0,43.6152273741083,1.46537612503241,2022-12-05T00:29:57.116000Z,212
00158 - URSS - SAINT-THOMAS D'AQUIN,57 AV DE L'URSS,8,12,43.5807954613388,1.44913573858459,2022-12-05T00:29:57.122000Z,158
00168 - PLACE BILA - ROUTE D'ALBI,FACE 3 PL BILA,19,1,43.6265098133531,1.45893020788762,2022-12-05T00:29:57.122000Z,168
00179 - CASSAING - PLANA,5 CH CASSAING,3,14,43.6168026524186,1.4735051610083,2022-12-05T00:29:57.123000Z,179
00204 - PLACE ROGER ARNAUD,PL ROGER ARNAUD,7,11,43.5867791429487,1.46316404579227,2022-12-05T00:29:57.124000Z,204
00249 - CROIX-DAURADE,147 RTE D'ALBI,10,9,43.6381289958261,1.46521198710394,2022-12-05T00:29:57.125000Z,249
00015 - PONT MONTAUDRAN,FACE AU 5 PORT SAINT-SAUVEUR,12,8,43.59642,1.4565,2022-12-05T00:29:57.129000Z,15
00247 - LAUNAGUET - AUDIBERT,FACE 112 RTE DE LAUNAGUET,8,10,43.6367749587921,1.43923013550861,2022-12-05T00:29:57.129000Z,247
00134 - EGLISE BONNEFOY,8 ALLEE DE L'EGLISE BONNEFOY,3,16,43.6189409438153,1.45665875490709,2022-12-05T00:29:57.130000Z,134
00112 - PLACE RUSSELL - BRANLY,47 ALLEE BRANLY,1,19,43.5852668401728,1.4529365149254,2022-12-05T00:29:57.131000Z,112
00076 - REPUBLIQUE - PL. OLIVIER,34 RUE DE LA REPUBLIQUE,2,20,43.5984949088346,1.43518155709792,2022-12-05T00:29:57.131000Z,76
00190 - ESPAGNE - LES OUSTALOUS,39 RTE D'ESPAGNE,18,2,43.5782753633891,1.42391602250652,2022-12-05T00:29:57.132000Z,190
00241 - ESPAGNE - CHARPENTIER,57 RTE D'ESPAGNE,15,5,43.5745765451364,1.42443256467288,2022-12-05T00:29:57.133000Z,241
00253 - ETATS-UNIS - ROBERT,FACE 74 AV DES ETATS-UNIS (GARAGE RENAULT TOULOUSE),19,1,43.6319121122554,1.43168347755474,2022-12-05T00:29:57.133000Z,253
00089 - ESP COMPANS-CAFFARELLI,1 ESP COMPANS-CAFFARELLI,15,7,43.6110369152182,1.43662875902823,2022-12-05T00:29:57.134000Z,89
00100 - PORT SAINT-SAUVEUR,16 ALL PAUL SABATIER,19,1,43.5969740670504,1.4556740427761,2022-12-05T00:29:57.135000Z,100
00215 - METRO ARGOULETS,FACE 8 RUE DE GAILLAC,12,8,43.623814424096544,1.475849028782433,2022-12-05T00:29:57.135000Z,215
00054 - CHAINE,10 RUE DE LA CHAINE,8,9,43.60842033750804,1.439762556768512,2022-12-05T00:29:57.136000Z,54
00180 - PLACE DE SOUPETARD,3 PLACE DE SOUPETARD,8,10,43.6122515815792,1.47765639323401,2022-12-05T00:29:57.137000Z,180
00277 - ZAMENHOF,10/12 RUE ZAMENHOF,7,11,43.58549,1.37708,2022-12-05T00:29:57.138000Z,277
00214 - CASTRES - ACHIARY,48 AV DE CASTRES,16,1,43.6007954403134,1.47366063189684,2022-12-05T00:29:57.138000Z,214
00114 - MONTPLAISIR - CANAL,8 BD MONPLAISIR,18,2,43.5923910122271,1.45800786139055,2022-12-05T00:29:57.139000Z,114
00002 - LAFAYETTE,21 RUE LAFAYETTE,12,12,43.60485265221502,1.445285876671779,2022-12-05T00:29:57.140000Z,2
00199 - DELTOUR - RIEUX,4 BD DELTOUR,18,4,43.591528310013615,1.470276283956405,2022-12-05T00:29:57.140000Z,199
00223 - ENAC,7 AV EDOUARD BELIN ANGLE AV ROCHE RD-PT GUY DU MERLE,18,4,43.5651043005754,1.47834074103018,2022-12-05T00:29:57.141000Z,223
00164 - BEDOUCE - SAOUZELONG,FACE 79 AV ALBERT BEDOUCE,3,17,43.5797254327437,1.46009442602239,2022-12-05T00:29:57.141000Z,164
00051 - DUPORTAL - BRIENNE,1 BD ARMAND DUPORTAL,7,11,43.6050356887458,1.43484323578632,2022-12-05T00:29:57.142000Z,51
00010 - PLACE ESQUIROL,15 PL ETIENNE ESQUIROL,44,0,43.6003776908545,1.44544233356215,2022-12-05T00:29:57.143000Z,10
00035 - PLACE JEANNE D'ARC,1 RUE RAYMOND IV,10,15,43.60964,1.4469,2022-12-05T00:29:57.143000Z,35
00250 - 11 NOVEMBRE,RUE DU 11 NOVEMBRE FACE 45 RUE DU 14 JUILLET,9,9,43.5930975342926,1.41442863594639,2022-12-05T00:29:57.144000Z,250
00045 - OZENNE,10 RUE THEODORE OZENNE,15,4,43.596327873693475,1.447014394243565,2022-12-05T00:29:57.145000Z,45
00083 - SEJOURNE - AMIDONNIERS,2 AV PAUL SEJOURNE,0,17,43.6055917312578,1.42825385189699,2022-12-05T00:29:57.145000Z,83
00047 - NAZARETH - LANGUEDOC,12 RUE DU LANGUEDOC,29,1,43.5954617575877,1.44553144517134,2022-12-05T00:29:57.146000Z,47
00044 - PALAIS NIEL,1 ALL FORAIN FRANCOIS VERDIER,17,5,43.59800264157314,1.45174992410964,2022-12-05T00:29:57.147000Z,44
00171 - ROUTE D ALBI - PELET,191 RTE D'ALBI,8,10,43.6408973504266,1.46630839181316,2022-12-05T00:29:57.148000Z,171
00162 - PLACE D'ITALIE,FACE 49 AV D' ITALIE,5,12,43.5802765386376,1.45491780578712,2022-12-05T00:29:57.149000Z,162
00031 - SALENQUES,7 RUE DES SALENQUES,16,4,43.60749002329994,1.43922052825561,2022-12-05T00:29:57.149000Z,31
00138 - BARRIERE DE BAYONNE,3 BD JEAN BRUNHES,13,7,43.598196214598815,1.41997369298729,2022-12-05T00:29:57.150000Z,138
00216 - ARGOULETS - HOUDON,3 RUE JEAN HOUDON,6,11,43.6228293809211,1.47405740130861,2022-12-05T00:29:57.150000Z,216
